interval_no,interval_name,myr_bin_name,myr_bin_no
943,Haweran,Cenozoic 6,49
925,Wanganui,Cenozoic 6,49
555,Porterfieldian,Cenozoic 6,49
718,Lujanian,Cenozoic 6,49
239,Sheridanian,Cenozoic 6,49
1088,Tarantian,Cenozoic 6,49
1038,Nihewanian,Cenozoic 6,49
237,Rancholabrean,Cenozoic 6,49
1089,Ionian,Cenozoic 6,49
240,Cudahyan,Cenozoic 6,49
241,Sappan,Cenozoic 6,49
238,Irvingtonian,Cenozoic 6,49
944,Castlecliffian,Cenozoic 6,49
719,Ensenadan,Cenozoic 6,49
924,Early Pleistocene,Cenozoic 6,49
720,Uquian,Cenozoic 6,49
945,Nukumaruan,Cenozoic 6,49
243,Rexroadian,Cenozoic 6,49
219,Blancan,Cenozoic 6,49
242,"""Senecan""",Cenozoic 6,49
295,MN 17,Cenozoic 6,49
946,Mangapanian,Cenozoic 6,49
296,MN 16,Cenozoic 6,49
1039,Yushean,Cenozoic 6,49
288,Villanyian,Cenozoic 6,49
81,Late Pliocene,Cenozoic 6,49
947,Waipipian,Cenozoic 6,49
721,Chapadmalalan,Cenozoic 6,49
297,MN 15,Cenozoic 6,49
289,Ruscinian,Cenozoic 6,49
948,Opoitian,Cenozoic 6,49
82,Early Pliocene,Cenozoic 6,49
722,Montehermosan,Cenozoic 6,49
298,MN 14,Cenozoic 6,49
220,Hemphillian,Cenozoic 6,49
299,MN 13,Cenozoic 6,49
244,Late Hemphillian,Cenozoic 6,49
245,late Early Hemphillian,Cenozoic 6,49
246,early Early Hemphillian,Cenozoic 6,49
1040,Baodean,Cenozoic 6,49
290,Turolian,Cenozoic 6,49
926,Taranaki,Cenozoic 6,49
949,Kapitean,Cenozoic 6,49
83,Late Miocene,Cenozoic 6,49
950,Tongaporutuan,Cenozoic 6,49
723,Huayquerian,Cenozoic 6,49
300,MN 12,Cenozoic 6,49
1044,Pannonian,Cenozoic 6,49
301,MN 11,Cenozoic 6,49
291,Vallesian,Cenozoic 6,49
302,MN 10,Cenozoic 6,49
724,Chasicoan,Cenozoic 6,49
